epoch,acc,loss,val_acc,val_loss
0,0.213975155301,2.19178202286,0.318363291482,1.88349714988
1,0.286801242363,1.97004055536,0.409845542408,1.69814773848
2,0.327840820825,1.85498876815,0.486875621339,1.61495370756
3,0.362111801379,1.76038210375,0.430656670581,1.52165782646
4,0.384364820962,1.6800879062,0.522084726138,1.39857095299
5,0.411180124337,1.62838886319,0.54542498454,1.34005170342
6,0.434472049731,1.56562530271,0.566434830152,1.22167722643
7,0.444271724022,1.56029157286,0.613314063492,1.22304498297
8,0.462111801344,1.49636311244,0.620341432988,1.22068044936
9,0.475931677174,1.46062543115,0.671863426832,1.09190569861
10,0.488419089239,1.44987699586,0.667166470821,1.11661644058
11,0.493562897512,1.42424953618,0.678999187621,1.09527643243
12,0.501787657524,1.41448317415,0.676614579046,1.01705817075
13,0.515993788982,1.37185566888,0.68608075186,1.02014319439
14,0.519254658535,1.39066056583,0.697750881235,0.982635774413
15,0.519565217514,1.3570790731,0.674229970053,0.99699388376
16,0.539130434891,1.32544297317,0.655478276301,1.05912734105
17,0.547981366561,1.32680970981,0.597199892303,1.15292971876
18,0.538473496165,1.32007094704,0.702502032337,0.946308321747
19,0.549557934122,1.30568955005,0.69776894645,0.948794952813
