epoch,acc,loss,val_acc,val_loss
0,0.254503105632,2.2966239693,0.428922410108,1.61076841098
1,0.384782608844,1.77392808771,0.60614217394,1.25094091138
2,0.465838509434,1.55894894605,0.620251106356,1.16060123909
3,0.525310559129,1.41397052726,0.730412790173,0.906043174135
4,0.555572827816,1.36249916737,0.418932346324,2.0803401101
5,0.576397515704,1.24493280171,0.714262488136,0.89820967483
6,0.592391304579,1.18372358191,0.791382892102,0.67766287228
7,0.632142857346,1.20030727573,0.733176767994,0.831492639355
8,0.636024844882,1.17901020084,0.651142625431,1.11446004958
9,0.636645962886,1.17083169856,0.803143348179,0.642906903417
10,0.640838509488,1.29531725654,0.838063408906,0.546078097798
11,0.668788820066,1.03060022194,0.791437087748,0.737037690354
12,0.677755324309,1.02597886632,0.826573931894,0.598348636037
13,0.686180124446,0.992728309963,0.831325083413,0.558044136606
14,0.69332298151,1.08324867502,0.871050492277,0.482811459337
15,0.699068323166,0.968601859689,0.85934423268,0.517639106798
16,0.714751552971,0.986114772474,0.829139193179,0.583681886571
17,0.715217391415,1.00968295522,0.421551801727,3.53742729015
18,0.713354037452,1.04171512109,0.875657122211,0.460399805108
19,0.715218405279,0.96547037591,0.66041008039,1.72856789544
