epoch,acc,loss,val_acc,val_loss
0,0.249068323008,2.05422032348,0.477951404293,1.63463383847
1,0.436499300617,1.54698851728,0.538668593484,1.34391107395
2,0.524689441197,1.26657109336,0.718778791298,0.925368803455
3,0.59283387638,1.08172759922,0.772577003675,0.717469916904
4,0.641614907045,0.950604432183,0.786559480416,0.647996395086
5,0.682885123799,0.834752642995,0.821840845313,0.558005564602
6,0.703881987758,0.775767847007,0.871050492138,0.452821543671
7,0.743167701998,0.684145418878,0.880480534591,0.371556916873
8,0.758850931802,0.640865820159,0.892132598542,0.321943737228
9,0.799223602651,0.55036742237,0.878095926294,0.383252925507
10,0.817857142996,0.509845987184,0.899196097913,0.389318928905
11,0.818902533949,0.50469897658,0.920278204318,0.288321566393
12,0.83338509326,0.465075818757,0.927305573119,0.26213132926
13,0.841321545025,0.429687876701,0.939029897932,0.269201387168
14,0.849525882281,0.407269563288,0.934423267997,0.222973545849
15,0.866304347993,0.365431739654,0.920422726041,0.248040375347
16,0.860093167794,0.402702486199,0.913359226809,0.287930905549
17,0.885559006294,0.322367893612,0.92734170355,0.218138469862
18,0.886956521804,0.329500748387,0.955451178755,0.186615497331
19,0.877173913136,0.341045597914,0.946039201517,0.208366767569
